title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,scraped_date,url
Get This Amazing Prime Location 4 Marla House Available In Warsak Road,PKR 2.3 Crore,23000000,5,5,4 Marla,900.0,25555,House,False,23,hot23VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/peshawar_warsak_road_get_this_amazing_prime_location_4_marla_house_available_in_warsak_road-54427361-1000-1.html
Prime Location House Of 10 Marla In Hayatabad Phase 7 Is Available,PKR 5.8 Crore,58000000,8,6,10 Marla,2250.0,25777,House,False,17,hot17VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_7_prime_location_house_of_10_marla_in_hayatabad_phase_7_is_available-54403893-8534-1.html
Ideal Prime Location House For Sale In Hayatabad Phase 7,PKR 2.8 Crore,28000000,6,6,5 Marla,1125.0,24888,House,False,10,hot10VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_7_ideal_prime_location_house_for_sale_in_hayatabad_phase_7-54403890-8534-1.html
Aesthetic Prime Location House Of 5 Marla For Sale Is Available,PKR 3.8 Crore,38000000,8,6,5 Marla,1125.0,33777,House,False,11,hot11VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_7_aesthetic_prime_location_house_of_5_marla_for_sale_is_available-54362812-8534-1.html
Brand New House Available For Sale,PKR 14.5 Crore,145000000,5,5,15 Marla,3375.0,42962,House,False,32,hot32Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/peshawar_university_town_brand_new_house_available_for_sale-46758267-1437-1.html
Luxury House for Sale | Defence Officer Colony | Peshawar,PKR 22 Crore,220000000,11,7,1.5 Kanal,6750.0,32592,House,False,15,hot15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/peshawar_defence_officer_colony_luxury_house_for_sale_defence_officer_colony_peshawar-53290729-392-1.html
Exclusive 6 Marla Luxury Corner House | Triple Storey | Zone 4 Regi Model Town,PKR 3.3 Crore,33000000,8,7,6 Marla,1350.0,24444,House,True,16,hot16Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/regi_model_town_regi_model_town_phase_4_exclusive_6_marla_luxury_corner_house_triple_storey_zone_4_regi_model_town-54418906-17014-1.html
6 Marla 9 Rooms Attach Bath Double Car Porch Gas Electricity Water Available Malik Tariq Road Street 1 Ring Road RMC Hospital House For Sale,PKR 2.8 Crore,28000000,9,2,6 Marla,1350.0,20740,House,False,16,hot16Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/peshawar_ring_road_6_marla_9_rooms_attach_bath_double_car_porch_gas_electricity_water_available_malik_tariq_road_street_1_ring_road_rmc_hospital_house_for_sale-54418546-997-1.html
You Can Find A Gorgeous House For Sale In Dalazak Road,PKR 7 Crore,70000000,10,,13 Marla,2925.0,23931,House,False,15,hot15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/peshawar_dalazak_road_you_can_find_a_gorgeous_house_for_sale_in_dalazak_road-54417117-7587-1.html
5 Marla House For Sale Zone 3 Sector C1 Regi Model Town Peshawar,PKR 3.3 Crore,33000000,8,6,5 Marla,1125.0,29333,House,False,22,hot22Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/regi_model_town_phase_3_regi_model_town_phase_3_-_block_c1_5_marla_house_for_sale_zone_3_sector_c1_regi_model_town_peshawar-54334561-17025-1.html
3.25 Marla House,PKR 96 Lakh,9600000,4,4,3.2 Marla,720.0,13333,House,False,20,hot20Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_uzair_town_3_25_marla_house-54289779-22002-1.html
Buy A 5 Marla House For sale In Hayatabad Phase 6,PKR 2.75 Crore,27500000,7,5,5 Marla,1125.0,24444,House,False,10,hot10Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_6_buy_a_5_marla_house_for_sale_in_hayatabad_phase_6-54423943-7627-1.html
Beautiful House Available For Sale Hayatabad,PKR 6.5 Crore,65000000,6,6,1 Kanal,4500.0,14444,House,False,10,hot10Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_1_beautiful_house_available_for_sale_hayatabad-54434698-7597-1.html
The Friends Properties Offers A 10 Marla Low Budget House For Sale Hayatabad Phase 2 Prime Location,PKR 4.8 Crore,48000000,7,,10 Marla,2250.0,21333,House,False,2,hot2Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,83,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_2_the_friends_properties_offers_a_10_marla_low_budget_house_for_sale_hayatabad_phase_2_prime_location-54423955-7602-1.html
"Premium 10 Marla Luxury Living House Available For Sale In The Highly Desirable Zone 3, Sector C3.",PKR 4.9 Crore,49000000,10,6,10 Marla,2250.0,21777,House,True,32,hot32Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/regi_model_town_phase_3_regi_model_town_phase_3_-_block_c3_premium_10_marla_luxury_living_house_available_for_sale_in_the_highly_desirable_zone_3_sector_c3-54325663-17026-1.html
Idyllic Prime Location House Available In Arbab Sabz Ali Khan Town Executive Lodges For sale,PKR 3.6 Crore,36000000,7,,7 Marla,1575.0,22857,House,False,33,33VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_idyllic_prime_location_house_available_in_arbab_sabz_ali_khan_town_executive_lodges_for_sale-54334769-10382-1.html
A Prime Location House Of 5 Marla In Arbab Sabz Ali Khan Town Executive Lodges,PKR 2.7 Crore,27000000,8,,5 Marla,1125.0,24000,House,False,34,34VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_a_prime_location_house_of_5_marla_in_arbab_sabz_ali_khan_town_executive_lodges-54353325-10382-1.html
Prime Location 4 Marla House For Sale In Arbab Sabz Ali Khan Town Peshawar In Only Rs. 16000000,PKR 1.6 Crore,16000000,6,6,4 Marla,900.0,17777,House,False,21,21VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_arbab_sabz_ali_khan_town_prime_location_4_marla_house_for_sale_in_arbab_sabz_ali_khan_town_peshawar_in_only_rs_16000000-54353326-10222-1.html
Well-Constructed Grey Structure House Available For Sale In Arbab Sabz Ali Khan Town Executive Lodges,PKR 1.5 Crore,15000000,6,6,5 Marla,1125.0,13333,House,False,13,13VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_well-constructed_grey_structure_house_available_for_sale_in_arbab_sabz_ali_khan_town_executive_lodges-54373188-10382-1.html
