title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
10 Marla Luxury Designer House for Sale | Spacious Living | Outclass Finishing | Premium Lifestyle,PKR 5.95 Crore,59500000,5,6,10 Marla,2250.0,26444,House,True,37,super hot37Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_luxury_designer_house_for_sale_spacious_living_outclass_finishing_premium_lifestyle-54512208-1383-1.html
Low Price 5 Marla Luxury House For Sale in DHA 5,PKR 3.9 Crore,39000000,3,4,5 Marla,1125.0,34666,House,True,16,super hot16Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_low_price_5_marla_luxury_house_for_sale_in_dha_5-54434113-10991-1.html
1 Kanal Brand New Designer House For Sale In DHA Phase 2 Islamabad,PKR 14.5 Crore,145000000,5,5,1 Kanal,4500.0,32222,House,True,15,super hot15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_house_for_sale_in_dha_phase_2_islamabad-54323212-339-1.html
Naval Anchorage designer House For Sale,PKR 2.4 Crore,24000000,4,5,5 Marla,1125.0,21333,House,True,25,super hot25Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/naval_anchorage_naval_anchorage_-_block_g_naval_anchorage_designer_house_for_sale-54521649-9158-1.html
4 Kanal Grey Structure Bahria   Garden City Zone 4,PKR 16.5 Crore,165000000,7,7,4 Kanal,18000.0,9166,House,True,5,super hot5Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/bahria_garden_city_bahria_garden_city_-_zone_4_4_kanal_grey_structure_bahria_garden_city_zone_4-54187594-10608-1.html
40*80 Doubble Story House Available For Sale,PKR 10.75 Crore,107500000,6,6,14 Marla,3150.0,34126,House,True,18,super hot18Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_g-13_40_80_doubble_story_house_available_for_sale-54492613-330-1.html
7 Marla New House For Sale Park Face,PKR 4.7 Crore,47000000,5,6,7 Marla,1575.0,29841,House,True,14,super hot14Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_f_7_marla_new_house_for_sale_park_face-54280271-9116-1.html
G-13/3 Luxury House For Sale Size 30*60 Sun Facing,PKR 6.95 Crore,69500000,4,6,8 Marla,1800.0,38611,House,True,26,super hot261Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,91,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_g-13_g-13_3_luxury_house_for_sale_size_30_60_sun_facing-54429034-330-1.html
Top Location Designer House Is For Sale In D-12 Islamabad,PKR 6.5 Crore,65000000,4,5,5 Marla,1125.0,57777,House,True,26,hot26Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/d_12_d-12_4_top_location_designer_house_is_for_sale_in_d-12_islamabad-54471590-3157-1.html
In D-12 You Can Find The Perfect House For sale,PKR 9 Crore,90000000,5,6,8 Marla,1800.0,50000,House,True,17,hot171Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,85,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_d-12_in_d-12_you_can_find_the_perfect_house_for_sale-54065623-160-1.html
